"Program","xPONENT","","Intelliflex"
"Build",""
"Date","2023-04-04","16:02"



"SN","IFLEXP22311001"
"Batch","PLATE_04042023_RUN002"
"Version","1"
"Operator","TBD"
"ComputerName","TBD"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName",""
"MaxSampleUptakeVolume","50 ul"
"DDGate","7000 to 30000"
"SampleTimeout","40 sec"
"BatchStartTime","2023-04-04 13:53"
"BatchStopTime","2023-04-04 15:14"
"BatchDescription",""
"ProtocolPlate","Name","TBD","Type","96","Plates","1"
"ProtocolMicrosphere","Map","TBD","Type","TBD","Count","TBD"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","Luminex® 200™ Low PMT"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Wash"
"PostWellRoutine",""
"PlateReadDirection","Horizontal"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 04/04/2023 09:50"
"Last Verification","Verified 04/04/2023 09:53"
"Last Fluidics Test","Lot Expired 04/04/2023 09:56"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"B88778","06/14/2023 00:00","04/04/2023 09:50","True","85.48","True","85.93","True","83.90","True","84.03","True","575.85","True","467.74","True","59.04","True","86.47","True","606.00"

"Samples","37","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Adenovirus T3","Adenovirus T5","Bordetella p. Toxin","Bordetella p. FHA","HKU1_S","OC43_NP","OC43_S","HKU1_NP","CMV","Diptheria Toxin","229E_NP","Mumps_NP","EBV gp125","NL63_NP","Echovirus","Enterovirus CoxB3 VP1","HBeAg","NL63_S","229E_S","HBcAg","HCcAg","Measles_NP","ADE5","HEV ORF2","Measles lysate","Rub","ADE40","Mumps lysate","Tet_Tox","FluA","Norovirus GII.4 VLP","Norovirus GII.4 VP1","Norovirus GII.6 VLP","Respiratory Syncytial A","Respiratory Syncytial B","RSV gG","Rhinovirus T1A lysate","Rotavirus VP7","Tetanus Toxin","Varicella-Zoster Virus","Toxoplasma gondii SAG2","Hepatitis A","HBsAg","Mumps","Rubella Capsid","Rubella E2","HPV 16","HPV 18","Varicella-Zoster Virus ORF26","Lepto_CNR","OspA","OspC","p41B31","p41PKo","VlsEB31","VlSEPBi","B.Afzelii","B.Garinii","B.b Flagellin","B.b VlsE","OspB","EColi_lysat","Total Events"
"1(1,A1)","Background0","27.86328","17.38672","20.10352","28.99805","18.91211","41.62891","29.97656","30.81934","12.2373","47.83203","24.13477","27.88574","34.08789","25.17773","29.45605","8.19922","28.82422","40.52148","31.93066","31.37988","29.00684","34.95117","19.90234","103.8877","29.75293","30.19336","31.90918","22.0166","25.17969","26.96484","25.20801","29.08398","21.95508","20.89648","30.42383","20.73535","32.00293","34.07227","26.77148","25","21.12305","17.98633","22.64551","29.72949","33.13086","27.06641","36.03223","37.59766","29.38574","32.39648","14.28516","18.67578","39.77539","22.94727","20.61719","22.96875","21.5","26.42383","19.28516","22.375","17.3877","27.03906","3746"
"2(1,A2)","Standard1","4816.87695","7162.58008","1104.81348","14129.63672","4559.35352","2670.35742","3471.56934","1086.79492","4999.57227","3915.25977","487.00781","1848.17578","13789.98242","3108.71484","1804.47168","5706.63965","1770.3457","968.40625","3964.57617","13730.93262","2108.32031","821.2832","14829.78906","1405.50977","1789.44238","2160.23242","5603.01562","805.12012","8648.83691","1620.71191","3958.24805","4393.53906","4253.82031","1454.00195","2220","2083.76855","1891.10156","1361.00781","2142.67578","10476.57031","2088.73145","1385.08203","1848.89844","1578.80859","1690.33398","2402.04688","1269.07812","1572.03711","1436.24023","3243.53125","4839.6377","1973.74121","3741.48633","4281.43262","399.93359","3961.10156","419.5625","848.77148","4556.00391","378.78906","4379.82812","1281.74023","1951"
"3(1,A3)","Standard2","3239.7832","4960.24805","687.39258","10543.30469","2962.8584","1606.50195","2199.21094","653.98047","3154.47754","2504.1543","308.6084","1035.12695","9718.07617","2385.51172","1075.83008","4099.3457","1023.53906","584.71289","2332.55371","9741.19141","1209.37109","484.07715","11963.07227","894.31738","1162.17676","1445.12305","3957.98633","571.74023","6203.01172","879.10742","2753.23438","3044.58398","2790.32812","658.19141","1527.43066","1290.00195","809.57031","819.19336","1175.71484","7637.88086","1218.06738","775.60938","1085.74609","998.99414","942.90918","1381.51562","695.02539","911.99707","857.78223","2188.00781","2723.76953","1112.30664","2111.74805","2711.72656","222.89453","2184.5332","258.69531","572.15625","2700.86719","238.48828","2402.82617","990.72656","2578"
"4(1,A4)","Standard3","2789.0127","3620.12305","422.19531","7403.74219","1672.0791","960.90234","1273.81641","437.52148","2007.37109","1509.77148","206.44629","569.86914","7621.90039","1842.6377","593.22852","2946.24414","755.29297","326.45215","1361.35938","7064.74609","534.35742","287.88574","11845.4043","559.71777","700.68652","1044.43262","2400.03809","346.96973","4206.57129","484.64453","1805.20605","2147.3877","1618.47266","394.94922","839.43848","737.46875","553.16309","456.28125","608.83105","4971.36914","736.6709","528.04688","611.12305","547.29883","455.55859","818.0957","422.01367","506.48828","484.24707","1342.83887","1448.96484","639.48828","1331.5957","1590.91016","125.28711","1393.15234","159.5752","369.63574","1544.30566","130.00977","1388.37598","686.94531","2495"
"5(1,A5)","Standard4","2044.75","2362.70508","288.20117","4691.4834","926.97266","500.41699","717.67969","260.31836","1203.27539","881.65527","131.84961","288.58203","4627.23633","1339.8252","319.125","1917.33398","418.22754","189.86816","765.66895","4428.69531","364.50488","177.53516","8742.54492","336.19434","489.5957","709.52148","1464.57617","218.96582","2537.12305","270.03711","1247.5752","1432.3916","1087.54102","263.91602","636.97266","479.26758","343.99902","314.15625","366.78711","3270.48535","453.71094","383.21289","345.15039","352.31738","349.28125","494.94531","261.26465","299.77637","314.62891","932.30371","843.50586","390.37891","688.55859","785.80371","73.72461","762.68164","93.1582","220.08691","846.28125","89.9375","830.57812","499.26953","2180"
"6(1,A6)","Standard5","1106.80078","1473.07031","160.23242","2632.0957","464.04492","266.03906","383.09473","188.70605","627.67578","511.21875","115.7959","147.05664","2837.625","862.29102","186.95508","1109.80859","264.22266","116.53906","426.09375","2418.33984","177.63965","110.49902","5996.39844","248.08984","288.29297","427.75879","724.93262","127.38281","1377.43555","142.82617","713.0957","729.30859","548.74023","157.53906","329.68262","228.75879","170.40918","196.5","222.69141","1923.04688","246.39746","201.82227","183.32031","177.6543","172.11523","262.9375","147.64648","178.23438","151.24219","348.99219","403.40723","182.44531","431.67969","444.86133","47.65723","336.92969","61.83398","134.67383","459.24609","57.78711","359.04883","333.50879","1861"
"7(1,A7)","Standard6","730.49219","805.67773","80.85547","1431.22266","261.46094","189.6582","200.83203","102.6875","407.59668","268.0332","57.92871","98.08398","1764.72363","535.58789","105.02734","607.3457","183.76953","87.42188","250.12109","1484.17969","150.42285","77.17383","3523.75977","183.63867","198.86719","270.91797","465.32422","81.84277","817.16992","86.28613","459.93359","435.4873","332.36816","103.46387","222.38867","144.83008","119.11426","126.10156","156.50586","1148.32422","158.84375","158.56641","115.3125","127.64844","131.83984","177.59375","110.27344","136.39062","117.73047","259.7832","239.51855","121.85449","279.56836","275.01074","35.00977","250.10352","50.48535","100.81445","268.62402","43.35156","223.16797","210.19336","1667"
"8(1,A8)","Standard7","391.83984","537.44336","57.20801","825.13086","139.4668","119.58008","123.66797","72.19336","242.78027","170.5","49.87695","64.16309","1090.96973","311.40918","74.75977","321.9502","119.50293","57.13379","142.7793","845.26953","81.11621","55.58789","2324.95703","134.16016","151.03906","156.75098","261.99219","50.30664","488.75195","60.74023","183.68945","288.4375","190.83203","56.96875","133.69238","88.4375","92.04883","84.84375","110.27734","552.59473","103.64355","125.66406","86.86426","84.36914","94.4043","108.00977","67.16406","105.38867","70.43359","152.5957","165.04492","79.79004","159.67969","154.25","30.46875","143.31543","35.36133","66.50391","155.55957","36.11816","155.41113","127.23535","1632"
"9(1,A9)","Standard8","272.74023","322.27441","40.20703","449.26953","86.45898","78.39453","79.76758","49.85156","136.02539","111.05664","32.66016","41.22754","571.88672","175.74023","57.35547","201.58496","93.14648","52.23145","87.84961","427","60.17676","45.39355","1156.23438","120.04102","96.39063","105.16602","147.08594","36.39648","255.74414","48.11719","152.01172","146.63574","115.38379","41.94336","88.36914","52.32813","58.71484","60.88672","62.90918","297.32812","61.91406","67.99707","49.42383","51.95898","63.47363","70.05859","49.0752","75.6084","49.17188","98.00195","75.46387","55.22266","94","92.83984","23.67969","79.59473","28.26563","39.05566","88.17969","29.27832","77.60156","86.7959","2092"
"10(1,A10)","Standard9","115.64453","165.82812","27.1084","250.75586","56.45703","59.66211","55.32031","43.07227","77.44727","77.1543","35.43066","37.12012","288.92383","107.69141","46.18066","106.91602","56.70801","44.18262","64.02148","245.47656","48.125","41.01758","721.37695","100.12109","83.26758","69.67871","93.72461","22.54883","143.91016","36.55859","77.10938","86.62109","60.14063","30.41113","59.9707","35.28711","46.67969","49.84766","40.03906","172.02539","48.53516","44.28516","44.04688","44.84668","45.79102","46.11133","45.71094","59.33691","47.58105","62.1582","55.11719","42.02734","63.33203","74.71094","18.99121","47.15039","29.86914","37.53516","56.97461","27.45117","57.99219","61.29199","1494"
