"Program","xPONENT","","Intelliflex"
"Build",""
"Date","2023-04-07","14:23"



"SN","IFLEXP22311001"
"Batch","PLATE_04072023_RUN002"
"Version","1"
"Operator","TBD"
"ComputerName","TBD"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName","62plex_CVI_VPD_MALCOM [v1]"
"MaxSampleUptakeVolume","50 ul"
"DDGate","7000 to 30000"
"SampleTimeout","40 sec"
"BatchStartTime","2023-04-07 12:39"
"BatchStopTime","2023-04-07 13:50"
"BatchDescription",""
"ProtocolPlate","Name","TBD","Type","96","Plates","1"
"ProtocolMicrosphere","Map","TBD","Type","TBD","Count","TBD"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","Luminex® 200™ Low PMT"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Weekly Maintenance"
"PostWellRoutine",""
"PlateReadDirection","Horizontal"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 04/04/2023 09:50"
"Last Verification","Verified 04/07/2023 08:55"
"Last Fluidics Test","Lot Expired 04/07/2023 09:08"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"B88778","06/14/2023 00:00","04/04/2023 09:50","True","85.48","True","85.93","True","83.90","True","84.03","True","575.85","True","467.74","True","59.04","True","86.47","True","606.00"

"Samples","83","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Adenovirus T3","Adenovirus T5","Bordetella p. Toxin","Bordetella p. FHA","HKU1_S","OC43_NP","OC43_S","HKU1_NP","CMV","Diptheria Toxin","229E_NP","Mumps_NP","EBV gp125","NL63_NP","Echovirus","Enterovirus CoxB3 VP1","HBeAg","NL63_S","229E_S","HBcAg","HCcAg","Measles_NP","ADE5","HEV ORF2","Measles lysate","Rub","ADE40","Mumps lysate","Tet_Tox","FluA","Norovirus GII.4 VLP","Norovirus GII.4 VP1","Norovirus GII.6 VLP","Respiratory Syncytial A","Respiratory Syncytial B","RSV gG","Rhinovirus T1A lysate","Rotavirus VP7","Tetanus Toxin","Varicella-Zoster Virus","Toxoplasma gondii SAG2","Hepatitis A","HBsAg","Mumps","Rubella Capsid","Rubella E2","HPV 16","HPV 18","Varicella-Zoster Virus ORF26","Lepto_CNR","OspA","OspC","p41B31","p41PKo","VlsEB31","VlSEPBi","B.Afzelii","B.Garinii","B.b Flagellin","B.b VlsE","OspB","EColi_lysat","Total Events"
"1(1,A1)","Background0","31.41016","21.88867","21.38672","32.55664","19.72461","40.94141","31.71875","32.40039","19.44238","51.68164","24.81836","29.43164","34.65234","23.88086","34.12305","8.59375","31.89063","41.54688","32.01758","27.79199","26.75","34.34766","18.68652","105.99609","32.42383","34.13281","29.47363","19.77148","30.31641","27.13574","22.11426","30.85254","24.4668","22.9082","34.34766","21.42188","26.37695","38.67773","26.02637","26.57129","18.85254","21.8252","24.42383","32.8291","34.28516","33.88281","37.10352","41.10547","29.42383","31.94727","14.52637","21.09375","41.28711","23.49609","20.74805","18.13281","20.34961","29.16211","18.81641","20.02734","19.48828","28.30957","4221"
"2(1,A2)","Standard1","4932.59961","6384.22949","989.78516","13834.25293","4203.62305","2383.8457","3527.2207","1265.96094","4204.04004","3884.06836","564.80469","1342.12695","13394.13086","1875.29883","1577.43555","5333.44531","1421.83398","866.85645","3607.06641","12649.14648","1559.24707","677.58691","14944.25","1311.90039","1713.66699","2178.04688","5367.07422","971.84375","9627.98047","1482.53125","3211.08008","4803.49902","3940.98047","1967.35742","1957.74414","1961.1543","1730.92188","1524.63867","2038.00684","9804.05469","2111.96094","1347.56445","1904.79883","1436.92969","1678.00195","1896.92383","1136.81543","1562.85645","1323.58496","2746.80859","4411.45312","2276.39844","3886.1582","4424.24023","445.57422","3705.65527","405.95508","752.16406","4123.23047","401.85547","4277.29883","950.85254","2998"
"3(1,A3)","Standard2","3626.56836","4971.96777","621.37695","10459.39648","2765.07812","1509.875","2290.77246","873.06836","3051.40039","2640.68359","370.99512","787.50195","10486.58008","1475.77246","973.07422","3917.51855","1106.84375","597.63379","2108.00586","9800.45996","1082.05469","411.04395","12937.9043","903.3252","1147.03906","1513.07129","3564.32812","699.49609","7353.82812","878.91504","2730.92383","3200.33594","2771.49219","1329.95117","1472.38867","1187.62109","1045.57031","990.65039","1349.99219","7213.71094","1299.08008","860.52637","1288.58594","968.09766","1011.41602","1237.48242","767.93945","956.49609","857.72656","2054.27344","2822.05078","1498.95117","2509.00977","2944.91602","284.67773","2610.20117","237.96484","496.24707","2865.49219","248.9541","2815.14746","747.66797","3316"
"4(1,A4)","Standard3","2810.81641","3410.72559","392.29785","7242.51953","1548.05078","878.75684","1217.06738","530.16992","1843.59375","1447.7207","211.31055","426.90039","7171.375","1104.89648","540.27539","2862.28516","564.12402","351.41211","1269.87988","6187.25195","636.86816","262.42871","11253.41406","566.16797","671.59375","982.5332","2198.46094","382.52344","4730.04883","498.08203","1682.21387","2082.98438","1590.36328","639.25684","985.90625","699.08691","583.82227","553.6582","723.76367","4461.07227","757.43164","559.57227","686.74512","525.90723","591.375","741.05469","403.41211","555.78906","487.12305","1174.49219","1491.61133","751.30371","1298.76562","1549.61523","169.73242","1388.73828","141.8584","327.63086","1529.4375","156.97852","1518.75293","520.25391","4659"
"5(1,A5)","Standard4","2022.91211","2210.44922","241.06055","4810.32812","915.46387","495.78906","742.9541","347.62891","1108.80078","861.25195","146.01074","254.60547","5100.79688","794.72461","333.86719","1728.18164","370.94141","205.33789","720.23828","4189.37695","410.41309","170.42383","8156.64258","388.48438","425.99219","712.91211","1399.98242","229.49219","3128.07227","287.78906","1195.10645","1339.38672","978.96875","383.7207","617.45703","397.72168","378.78516","350.26367","422.10547","3057.27539","449.03906","372.73438","377.93945","318.88086","329.67969","444.70117","258.66797","307.81934","289.75586","621.41699","851.69629","480.52832","800.8125","830.80273","106.27246","725.72852","93.23047","204.73633","886.55762","99.1377","836.5957","368.33008","3527"
"6(1,A6)","Standard5","1314.06152","1322.15918","131.35645","2589.95508","487.79883","311.75586","361.9043","222.80566","615.4209","446.89746","89.30859","132.25781","2879.39648","460.27734","179.46582","966.12598","216.12305","116.88086","406.7168","2299.12207","233.52734","111.93945","5330.94531","248.67773","276.18164","384.69336","739.6875","146.85059","1750.17578","143.93359","639.62695","713.05664","543.94727","214.9375","344.39551","212.56055","226.96387","210.33398","228.91895","1516.39844","256.55664","242.79297","206.72266","183.93945","189.79883","253.37695","156.06543","206.63379","166.38184","389.71777","445.57227","225.66797","410.81641","460.0918","70.41992","382.86719","59.96094","128.94824","474.81934","66.75391","430.08398","197.50684","3146"
"7(1,A7)","Standard6","818.23535","845.82812","90.40332","1567.31836","256.20117","186.29688","219.43066","159.41797","360.01562","271.36719","70.85352","85.04297","1676.78125","287.50391","126.21875","547.08008","167.64062","88.58105","230.40332","1311.21191","160.00977","79.46973","3432.7627","187.95508","201.69336","237.69531","437.48242","100.83203","1026.5957","95.06445","355.26758","428.21289","318.78125","130.01953","222.31543","128.27148","146.01172","132.8457","146.4668","947.2002","154.09766","155.76562","133.8457","130.73438","142.08984","159.49316","106.47266","132.48535","113.63379","222.38867","271.67578","139.00195","266.63086","283.5625","50.55664","246.33398","46.28906","89.7832","284.31445","46.06836","262.03906","145.2627","3875"
"8(1,A8)","Standard7","463.62207","442.88672","58.19336","918.08398","141.76172","113.47559","126.71875","108.46094","209.42871","176.29199","48.18359","61.8125","949.22656","168.6543","75.61523","327.3457","109.65039","65.31836","138.06836","766.8457","104.1543","57.37598","2135.78711","141.07617","141.18945","162.53125","251.69238","57.78027","572.94141","62.04883","196.27441","250.00391","180.41113","74.4707","143.05371","77.0166","98.57715","94.24023","94.72949","499.38672","91.35059","98.93359","87.38477","77.62402","86.7832","103.08301","76.56055","89.68555","76.25586","116.48828","123.69531","84.62012","157.99805","151.16211","35.91016","136.02734","32.87305","61.29297","153.62109","36.02051","144.9375","96.31445","4434"
"9(1,A9)","Standard8","265.32812","261.76953","39.68945","471.01562","88.06348","82.10254","84.80664","75.14453","126.07227","110.51953","40.06934","42.66895","552.78125","100.34375","56.68945","176.6875","76.07422","51.89453","84.94824","422.27344","70.89453","43.10352","1143.23633","131.08398","104.30176","105.98633","148.94922","38.97852","318.74512","44.64063","103.6084","146.86328","109.67383","44.75","99.67773","48.66699","73.28711","67.94922","61.55371","298.50391","72.0459","62.67188","61.28516","54.31543","67.70117","69.24219","55.71387","68.47363","50.125","90.06055","89.58594","51.21289","101.39844","83.65918","31.60938","88.25684","28.77734","46.72656","96.21875","28.19531","93.58008","67.30078","3486"
"10(1,A10)","Standard9","146.75293","145.00977","30.67383","273.63867","55.08398","64.95508","56.3457","63.06445","84.0498","84.41797","34.29492","37.8623","317.34375","66.99707","46.83594","94.33594","59.25293","47.81445","59.6582","259.06445","48.85547","41.87012","690.30469","118.57227","81.44434","72.58984","95.625","33.02734","196.14258","37.24316","77.95703","92.69824","72.91016","39.02734","68.93066","38.98633","45.93359","56.32031","49.59863","152.87402","45.23438","43.75781","42.27734","47.54004","50.86621","52.45508","46.5957","55.81738","38.97168","62.22266","52.11914","36.72852","78.72363","63.77246","25.7207","55.04102","25.78906","38.41016","63.71875","27.28906","56.78516","49.54297","3956"
"11(1,A11)","Standard10","85.37793","81.24805","23.63379","146.46094","37.81445","52.88867","44.47461","46.62109","54.89453","64.9043","29.25586","31.45117","177.88281","45.22559","39.31836","51.07227","43.50781","42.55273","43.74023","140.80566","33.39844","34.94043","349.75098","105.25","56.12207","46.93262","58.7832","26.5957","109.78516","32.67773","50.12891","67.15234","46.48633","27.99219","48.41797","26.05371","37.58398","49.03906","34.30566","99.17969","33.94434","38.7207","34.99414","36.31836","47.85156","40.92188","39.78613","52.67383","35.23438","53.69141","32.60156","31.53223","58.40039","41.42188","22.91699","31.87207","23.27344","36.94922","37.45898","26.88086","41.86035","36.4834","3587"
"12(1,A12)","Standard11","39.35547","29.79883","23.29102","47.53809","22.64063","42.82617","35.38477","38.60352","25.30273","56.62598","24.48633","30.46777","54.88281","26.81445","34.85938","15.23828","33.80762","41.37109","33.60938","46.0166","26.9375","32.0918","62.8291","119.47656","36.8125","35.53906","37.21973","22.64648","41.41992","26.71289","24.02344","34.94336","27.44531","26.5293","35.98535","25.03027","27.78516","42.62891","31.75781","36.96094","26.5957","20.79688","26.12598","31.91406","38.72559","37.00781","33.85742","44.66602","30.62695","37.2666","18.87891","19.71387","44.58496","25.8584","21.19238","21.51172","23.04297","28.03613","24.21875","23.95898","25.375","28.30859","3427"
"13(1,B1)","2-SERPR4606","1668.90625","1848.10645","119.92773","2501.69727","1031.99805","1193.84277","389.41797","356.72949","214.46191","2450.95508","160.56543","388.24219","10861.76465","1104.75293","435.28516","2375.45508","309.27148","758.61133","981.63281","474.09082","143.13477","102.08398","8203.26465","178.76562","390.92773","836.44141","2668.1875","124.22363","4945.1748","163.01562","2296.67578","3321.91016","6105.47656","114.27637","517.06836","84.83203","121.33301","386.78516","262.05078","1999.31445","164.04199","118.78711","140.53516","130.31445","186.76367","268.08984","593.87402","618.57422","177.85938","770.10547","105.99902","79.6582","204.72461","184.14941","97.26367","162.80469","95.0459","233.43555","133.89355","68.79297","133.13867","201.92969","3558"
"14(1,B2)","2-SERPR5186","4142.53711","4157.95898","294.34863","16059.12109","824.56055","349.33887","1231.17578","255.01758","244.31641","1367.13379","128.93555","141.53418","5416.36914","156.00781","603.64258","753.78711","373.24414","172.09766","1195.3457","717.01367","162.19727","98.43164","14409.23047","168.08789","155.35938","316.88965","5182.77344","166.8252","5109.84375","213.58984","294.61133","396.26758","399.15039","152.13574","647.39453","134.56836","135.70117","167.45703","664.56152","4499.15625","174.16016","119.16797","120.05469","161.69922","201.29395","379.7207","161.11426","162.56055","265.55273","818.39746","174.44727","197.26172","277.50684","351.74805","106.54785","209.02246","103.77246","254.43262","258.67383","111.53711","213.86133","150.64746","3354"
"15(1,B3)","2-SERPR5194","2554.57617","6298.46973","279.6875","8782.30859","5017.16016","963.81836","481.47168","369.8623","3531.74219","2061.31836","216.84473","106.24805","9613.62891","317.91211","1448.50293","1529.09668","316.4375","578.11621","2022.27734","11508.2168","274.02539","89.77344","12556.78711","208.9082","161.68457","775.13867","4865.07324","195.35156","9313.45703","727.03125","1110.43066","1719.5166","3368.42285","226.08789","1276.58984","254.24805","239.5","304.78613","1194.92578","2530.22852","254.92969","201.84766","284.39258","201.29688","252.59766","567.22266","177.26562","241.42969","176.09473","625.5957","369.5918","274.11133","404.73828","414.43945","158.4873","340.78711","111.58789","190.07617","371.49805","93.41992","361.11523","238.97363","3288"
"16(1,B4)","2-SERPR5202","2685.38184","2788.39453","261.25195","3133.38281","1422.17188","734.39258","664.10742","205.38086","161.77539","3590.60547","84.15625","45.89551","9086.19336","91.43555","461.14062","485.31934","162.0918","302.82227","1212.67773","293.91406","130.34766","52.84766","11619.30273","146.84766","63.24316","77.16797","1465.11426","55.54883","6343.72754","94.97461","936.42578","1406.46289","2444.62891","121.03906","723.28809","75.28125","97.25195","127.42188","353.96484","2284.36523","94.89453","90.91992","98.63672","115.51172","221.05469","155.46289","93.44727","105.30469","88.23242","527.9043","149.4502","145.25488","206.53418","209.29297","78.57422","151.07227","130.50391","206.75195","172.66699","84.84375","163.57617","71.05859","4103"
"17(1,B5)","2-SERPR5210","3920.19336","4440.40918","249.19336","6004.18164","2757.65723","1038.61914","1707.5332","671.75781","265.20117","810.9082","302.33594","297.67188","5837.3584","1633.87695","1194.45117","1733.95508","487.58789","452.18359","1134.70898","1895.91309","312.79102","822.87012","13786.20898","247.29492","609.32422","1942.06055","4645.58203","395.88086","5040.74805","95.05469","200.85547","220.0332","2874.70898","177.40039","1335.03125","211.75195","256.38965","209.87891","642.49805","8934.38672","269.58594","178.66406","367.07422","316.98438","246.11719","481.68945","241.53125","252.40039","192.74805","1305.03125","455.60449","351.69727","515.11719","886.0293","185.80859","484.54199","131.08594","302.9043","499.75195","175.7832","550.24121","751.99414","3220"
"18(1,B6)","2-SERPR5218","1535.35547","2217.64844","189.23926","2275.64551","640.3125","164.34668","263.26758","297.53125","804.70898","2042.83008","157.45898","103.74609","9718.02734","86.37598","586.69043","869.53418","806.31836","174.99316","1032.33203","972.71094","2633.60938","363.54883","6198.67578","313.07617","621.69922","415.21875","3350.25","569.17578","827.39258","53.0293","1264.25977","1847.64844","4212.21484","953.70801","1703.46875","477.9375","1820.93652","948.25488","1189","4023.11133","2281.69141","926.53613","1411.78125","723.93164","988.0332","1200.25781","609.23828","1178.50391","745.51562","1350.35352","974.53711","484.7207","1025.88477","1140.11816","140.55371","913.61328","167.97852","341.28516","991.40527","141.82129","854.95898","435.61914","3435"
"19(1,B7)","2-SERPR5226","1620.46289","2135.73047","291.63574","1369.89844","33.49219","122.93359","59.48926","233.04688","235.70703","1377.83008","92.58691","301.92383","187.28516","340.75391","107.42969","493.57324","298.9668","573.32617","4865.08594","388.875","343.29199","379.73242","10630.08691","145.12305","496.79688","1097.10352","6502.52246","203.01953","4743.71484","206.08496","111.65137","63.07422","133.06836","145.62598","587.6875","63.54102","276.99805","226.07031","232.18945","60.74023","334.73242","154.15723","344.05859","191.09766","244.82324","279.1582","132.30273","218.84375","143.43457","491.94238","131.13281","147.19727","189.96387","191.08789","78.66602","158.58008","84.36719","167.23242","189.23145","84.88672","167.6123","324.5293","3233"
"20(1,B8)","2-SERPR5234","1632.49609","2293.17285","304.40234","7136.39453","2109.69531","2891.39062","846.50391","466.08594","454.44727","2706.63672","208.61914","323.98633","11616.61816","705.64258","800.95703","1031.27539","717.59961","256.5459","1240.38867","1430.26074","285.2793","161.49023","6771.86523","379.70703","356.77734","616.91016","2277.73047","537.86328","7895.84082","278.83105","1838.5625","2601.08789","3376.89258","1366.93555","806.32227","289.77051","524.45605","851.41113","1308.44922","8130.70117","605.00195","448.72559","1041.24316","402.72949","674.69824","690.05664","483.52148","474.10352","420.39648","1392.5","1207.33203","1263.03223","1239.67969","1302.54297","145.31543","637.88672","194.92773","351.74121","1173.30859","116.74805","1520.74414","306.71094","2984"
