Program	xPONENT		Intelliflex																																																													
"5(1,A5)"	Standard4	2155.85938	2888.25977	308.55566	4950.30859	1088.3623	674.94141	829.29492	391.53711	1385.05078	991.39258	193.25586	401.18066	5477.40625	1179.24414	430.35645	2206.99609	514.75098	234.0332	928.63965	5021.58984	504.21484	238.64844	8586.96094	421.4375	558.66016	822.39258	1689.39453	336.51562	3956.62988	363.95898	1245.67578	1616.05469	1249.93555	461.78516	769.73145	537.37305	488.62305	429.46484	515.75391	3445.04297	566.56836	441.62988	538.66406	444.18945	471.17383	519.35156	329.47754	448.43262	398.85352	951.55957	1104.87695	629.89258	1036.93652	1161.94531	130.0918	1037.08887	130.06934	274.76562	1130.9248	122.04395	1141.90625	535.42188	4095
"6(1,A6)"	Standard5	1300.20312	1575.05469	185.6582	3106.67188	585.58008	373.91016	441.50781	259.99219	778.71875	563.77051	122.92773	217.80371	3327.51172	792.44727	227.09277	1357.41016	325.16211	144.29297	501.00195	3039.31055	313.5332	151.15625	6277.40625	281.25684	355.9668	514.91016	971.14062	202.85059	2383.78711	192.01758	728.53711	932.11133	724.61328	247.47656	458.92285	301.55664	302.46484	273.45898	315.55273	2027.40039	368.03027	305.57422	307.625	265.96582	269.73242	329.04492	203.04102	261.10547	218.20898	650.00098	609.69434	325.40234	592.7207	651.02734	81.35547	586.97461	77.93262	164.41406	649.98242	78.31445	624.18652	339.05957	3666
"7(1,A7)"	Standard6	796.16797	927.81055	103.39063	1705.75098	308.13574	183.88574	229.38477	161.68262	448.97461	314.09375	82.58398	113.78809	1780.68164	462.6084	149.41797	821.42969	171.5625	93.28613	272.13672	1581.44043	184.90625	99.9707	3636.36523	187.25	254.57031	318.36035	517.51953	117.19922	1329.28125	106.00684	394.85742	513.62109	352.97656	144.45117	265.33203	166.08203	172.39844	152.89258	178.37793	1112.11523	202.43555	180.63574	169.04102	139.69727	161.46875	196.79004	127.5293	164.32227	129.80566	372.13477	320.56348	180.42285	332.95996	355.0625	54.78125	279.0791	56.00586	111.4834	335.17188	56.4668	343.71484	226.02832	2986
"8(1,A8)"	Standard7	440.63672	597.95898	66.58984	992.92969	166.57227	133.13477	143.79395	108.7002	288.20508	200.15332	58.20898	71.76172	1044.61133	278.07422	92.86719	412.625	129.09863	69.62598	167.39844	893.86133	101.49023	73.6543	2172.25586	148.04883	161.30078	179.33398	300.20801	79.46875	772.6377	71.27539	224.85254	286.07617	217.7627	88.88672	174.25391	95.00977	99.7168	122.72461	100.01172	602.59766	112.43555	123.29102	97.57617	93.71875	105.85547	120.42188	79.60547	110.78516	83.24023	182.39453	184.40234	102.25586	186.89648	195.36523	43.21387	168.86426	42.64941	73.95508	190.21484	39.86328	184.32227	127.125	3974
"9(1,A9)"	Standard8	253.73633	307.94824	45.00586	540.51562	96.79492	93.51953	90.81641	90.26563	163.82617	130.21289	44.9707	52.72266	608.39453	158.85938	65.05664	236.60156	88.73145	55.53516	99.77734	484.46094	67.87695	56.3916	1225.28516	121.64258	128.00195	119.18066	171.35938	53.34473	434.70508	51.98242	122.66992	173.29492	142.64062	57.77832	105.29883	64.5	74.375	74.99121	72.55273	340.52246	75.22656	76.38867	67.08105	62.46387	75.76953	82.83887	59.17383	78.32422	53.99609	131.63477	107.95508	69.16797	120.5	116.56055	31.24414	113.44922	32.32715	53.38574	117.02051	34.4668	108.91406	92.57227	4107
"10(1,A10)"	Standard9	166.34961	181.05957	36.63965	317.46094	65.48633	66.5	62.47656	60.36328	115.15918	92.75098	38.75098	42.46875	381.70898	104.26563	54.38672	131.83594	65.63965	49.30664	69.6543	285.34375	47.19922	44.69043	721.45117	114.9375	95.09961	75.89258	111.86133	40.16797	257.00293	40.64746	91.69922	103.74414	79.95313	43.64063	73.59766	48.69336	51.4541	60.37012	54.74316	211.05469	50.88672	49.17871	51.94922	47.89844	58.0498	58.99805	48.91016	61.58984	46.67188	75.77148	66.02344	51.85547	85.99219	77.27637	28.98633	69.48926	27.22168	43.27148	78.62891	28.08594	69.16602	58.53125	3503
"11(1,A11)"	Standard10	75.54199	94.32324	27.88379	143.47754	39.44727	52.4668	45.56641	49.74707	56.65234	65.91992	29.49805	34.79297	166.87695	53.31641	40.48047	57.88477	47.12207	47.53809	50.07617	120.34082	43.37988	39.38379	330.46289	101.85352	66.00195	52.43359	60.83789	26.43164	115.48438	32.36621	49.97266	63.30078	49.83887	28.45898	50.01953	31.33203	36.21289	47.40137	37.88086	94.71777	34.15625	32.16504	27.25977	38.86816	43.70508	44.14355	39.22754	48.49902	37.95313	51.41602	31.20703	32.54199	62.73926	45.32422	22.20898	35.57813	21.9541	32.64258	43.11719	26.34277	44.91602	43.28418	3181
"12(1,A12)"	Standard11	49.35547	43.65918	21.55566	65.52344	25.57813	46.95313	37.24219	39.375	33.23535	51.90332	29.3623	28.99805	71.6748	31.77539	37.78906	22.39355	37.00098	43.83984	39.99121	55.40039	31.3916	40.87109	112.16602	105.91602	45.42383	38.04297	41.42188	24.04688	56.125	29.64258	32.73633	40.70898	32.20215	30.92383	40.22461	26.17188	28.89941	41.36035	35.78418	46.43359	31.94824	24.26172	31.67188	34.60156	41.14844	38.23926	42.57715	49.84473	30.25684	36.29297	18.65039	25.85156	44.24219	30.98438	21.50977	22.44043	24.0332	32.21289	23.99121	23.67969	29.36719	29.57031	4652
"13(1,B1)"	2-SERPR7201	1169.0918	3852.63379	226.88086	521.56055	1629.67871	2595.21289	2272.54883	520.78516	3860.90039	214.6582	277.90625	315.27734	11139.31348	1891.40332	308.24316	2717.12402	363.45898	346.51953	867.7168	2021.42578	192.86621	225.54883	8084.98438	229.44922	345.36035	763.54883	1390.41211	118.44531	204.00195	1128.47559	1666.23828	2478.38867	9151.68848	116.96582	1221.88672	681.07422	144.78516	171.39746	136.75	3465.48535	202.83984	214.68164	130.79492	406.36426	200.83203	269.91602	174.05664	192.20703	222.4043	640.8125	495.39258	374.5957	484.4209	548.06641	98.12012	570.30371	185.61133	556.52539	638.01855	153.88867	613.24316	826.60352	3186
"14(1,B2)"	2-SERPR7122	2079.64551	2957.2207	630.88477	14394.13672	1106.06641	1338.39844	2820.63086	454.97656	351.32129	3409.75586	320.64844	525.81934	6196.11719	1393.33203	1556.12305	2861.78223	550.2793	506.1582	3052.80664	2657.92578	255.11035	101.56836	9651.83984	430.08789	408.48633	768.50977	4440.59766	421.68457	10587.13477	114.09766	870.56348	1327.58984	3758.33008	326.86914	1300.96094	953.02344	272.48242	403.92578	667.53711	2243.45898	325.86523	248.77148	390.38086	370.11523	415.33008	476.90039	280.20312	288.51172	349.13281	1228.97656	1973.22852	1041.46289	1741.60352	1915.85938	115.26172	1999.76953	159.64062	266.74609	1959.04688	148.15723	2215.54883	765.20703	4064
