Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,05/11/2022,4:45 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX16145704,,,,,,,,,,,,,,,
Batch,IgG_CovidOiseS4_30plex_plate5_20220511,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,mph,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Covid_30plex_new,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,65 uL,,,,,,,,,,,,,,,
BatchStartTime,5/12/2022 6:17:40 PM,,,,,,,,,,,,,,,
BatchStopTime,5/12/2022 7:19:45 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,30,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
"70(1,F10)",Unknown78,21532,683,1952.5,3000,2217,,,,,,,,,,
"71(1,F11)",Unknown86,26429.5,2558,2101,2027,1795,,,,,,,,,,
"72(1,F12)",Unknown94,18345,232,641,265,729,,,,,,,,,,
"73(1,G1)",Unknown7,27862,683,2098,897,697,,,,,,,,,,
"74(1,G2)",Unknown15,27699,562,2184,2271.5,1444.5,,,,,,,,,,
"75(1,G3)",Unknown23,27153.5,582,1795,290,948,,,,,,,,,,
"76(1,G4)",Unknown31,28303,831,7729,3270,1118,,,,,,,,,,
"77(1,G5)",Unknown39,18966,666,507,369,404,,,,,,,,,,
"78(1,G6)",Unknown47,19860,742,1860,1557,822,,,,,,,,,,
"79(1,G7)",Unknown55,435.5,360.5,3865,482,1138,,,,,,,,,,
"80(1,G8)",Unknown63,24016,425,2033,194,562,,,,,,,,,,
"81(1,G9)",Unknown71,753,312,379.5,313,422,,,,,,,,,,
"82(1,G10)",Unknown79,21176,1797.5,1208.5,722.5,1732,,,,,,,,,,
"83(1,G11)",Unknown87,28466,4047.5,3050,1357,3846,,,,,,,,,,
"84(1,G12)",Unknown95,16011,1220.5,785,561,1079,,,,,,,,,,
"85(1,H1)",Unknown8,25100,501,2356,3322,1346.5,,,,,,,,,,
"86(1,H2)",Unknown16,10248,353,4575.5,1998,390.5,,,,,,,,,,
"87(1,H3)",Unknown24,27089,333,1333,381,1780,,,,,,,,,,
"88(1,H4)",Unknown32,13245,299,1222,637,966,,,,,,,,,,
