Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1324.0,,,,,,,,,,,,,,,
Date,2/22/2021,12:57 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX15119701,,,,,,,,,,,,,,,
Batch,Covid_Oise_9plex_plate1_IgG_20210222,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,cibu,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,CovidSero_IDEA,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleVolume,65 uL,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
BatchStartTime,2/22/2021 1:20:48 PM,,,,,,,,,,,,,,,
BatchStopTime,2/22/2021 2:18:41 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,9,,,,,,,,,,
ProtocolReporterGain,N/A,,,,,,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 2/22/2021 11:30:13 AM,,,,,,,,,,,,,,,
Last VER Verification,Passed 2/22/2021 11:31:11 AM,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 2/22/2021 11:32:25 AM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B81409,5/21/2022,2/22/2021 11:30:13 AM,25.7,25.7,25.7,25.7,249,286,333,333,0.007,0.00694,0.0039,0.11535,Pass,MAGPX15119701
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,96,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,spike_6P_IPP,ME_NA,HKU1_S_IPP,OC43_S_sino,RBD_IPP,NL63_S_IPP,229E_S_IPP,NP_IPP,S2_NA,Total Events,,,,,
"1(1,A1)",B,18,15,15,18,18,19,18,22,144,581,,,,,
"2(1,A2)",S,13217,3741,6744.5,13526,8182.5,429,6593,2864,3313,562,,,,,
"3(1,A3)",S,9474.5,2228,4050,9410,5434.5,223.5,3821,1806,1823.5,570,,,,,
"4(1,A4)",S,6327,1232.5,2118,6483,2969,108,2093,1004,1173,576,,,,,
"5(1,A5)",S,3568,657,1118.5,3694,1589,62,1042.5,601,654.5,614,,,,,
"6(1,A6)",S,1805.5,349.5,570,2005,835,42,524.5,314.5,363,590,,,,,
"7(1,A7)",S,1195,190.5,332,1220.5,531.5,31,330,187.5,262,560,,,,,
"8(1,A8)",S,523,99,152,575,234,25,148,97,179.5,574,,,,,
"9(1,A9)",S,279,60,90.5,312,118,23,82,64,155,532,,,,,
"10(1,A10)",S,132,34,49,153,69,20,48,42,137,586,,,,,
"11(1,A11)",S,83,26,33,88,45,21,32,32.5,123,604,,,,,
