Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1324.0,,,,,,,,,,,,,,,
Date,2/23/2021,12:09 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX15119701,,,,,,,,,,,,,,,
Batch,Covid_Oise_9plex_plate5_IgG_20210223,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,cibu,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,CovidSero_IDEA,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleVolume,65 uL,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
BatchStartTime,2/23/2021 12:09:37 PM,,,,,,,,,,,,,,,
BatchStopTime,2/23/2021 1:07:37 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,9,,,,,,,,,,
ProtocolReporterGain,N/A,,,,,,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 2/22/2021 11:30:13 AM,,,,,,,,,,,,,,,
Last VER Verification,Passed 2/22/2021 11:31:11 AM,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 2/22/2021 11:32:25 AM,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B81409,5/21/2022,2/22/2021 11:30:13 AM,25.7,25.7,25.7,25.7,249,286,333,333,0.007,0.00694,0.0039,0.11535,Pass,MAGPX15119701
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,96,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,spike,ME,HKU1,OC43,RBD,NL63,229E,NP,S2,Total Events,,,,,
"1(1,A1)",B,18,15,15,20,20,20,17,25,152.5,548,,,,,
"2(1,A2)",S,14261,4385,7508,13949.5,8444,400,7437,2691,3406,476,,,,,
"3(1,A3)",S,10468,2312,4431,10182,5835,185,4347,1710.5,2050,508,,,,,
"4(1,A4)",S,7598,1413,2542,7232,4056,102,2544,1128,1303.5,526,,,,,
